"nome","resumo","coordenador"
"ESDI: JANELAS ABERTAS","Programa de extensão esdi:janelas abertas visa divulgar o ensino e os acontecimentos do design para a comunidade externa da esdi além de dar suporte ao alunado da unidade em sua orientação profissional. A esdi é a unidade da universidade do estado do rio de janeiro dedicada ao ensino do desenho industrial um campo de conhecimento multidisciplinar. Trata-se de uma área voltada ao desenvolvimento de projetos de objetos tridimensionais de comunicações gráficas e de sistemas integrados de informação tecnologia e ambientes urbanos. O curso de graduação se desenvolve em cinco anos oferecendo simultaneamente habilitação em projeto de produto e programação visual. O ingresso é feito anualmente por meio de concurso vestibular promovido pela uerj. A escola está instalada em um conjunto de prédios na lapa no centro do rio de janeiro possuindo salas de aula oficinas de madeira metal modelagem gráfica laboratórios de fotografia e informática além de uma biblioteca especializada. O projeto “esdi: janelas abertas” foi criado no início do ano de 2001 com o objetivo de divulgar o campo do desenho industrial e a formação propiciada pela esdi de modo a ajudar tanto jovens interessados em ingressar na profissão a escolher adequadamente uma carreira quanto aos alunos da instituição que buscam maior esclarecimento sobre as perspectivas que o mercado de trabalho oferece. Para tanto vêm sendo organizadas ao longo dos anos de existência do programa esdi: janelas abertas atividades dirigidas a instituições do ensino médio do rio de janeiro com palestras e visitas monitoradas. O “janelas abertas” promove séries de palestras projeções e debates com alunos e ex-alunos da esdi dirigidos tanto aos estudantes interessados em geral e principalmente à própria comunidade esdiana.","Pedro Zöhrer Rodrigues Da Costa"
"LABORATÓRIO DE RÁDIO EXPERIMENTAL EDUCATIVO-COMUNITÁRIO EM BAIRRO DO MUNICÍPIO DE DUQUE DE CAXIAS","Projeto: laboratório de rádio experimental comunitário educativo em bairro do municipio de duque de caxias. O projeto que conta com dois laboratórios (a rádio comunitária kaxinawá transmitida por internet e o estúdio de som e música para gravação e ensaio) tem por eixo a pesquisa-ação de uma outra rádio capacitando alunos docentes técnicos administrativos e membros da comunidade em produção comunitária e educativa estimulando a criação de novas linguagens e conteúdos radiofônicos. Também contribui para a implementação de uma efetiva democratização dos meios de comunicação. A programanção é feita sobretudo por alunos em podcasts disponibilizados nas midias da rádio ou enquanto avaliações em disciplinas universais ou eletivas de radio-educação (ex: programas de música coreana rap metal trilhas sonoras grupo de estudos e programa musical feito por trabalhadores da padaria vizinha).Trata dos vários campos modos e funções do rádio e busca conceitos para pensá-los visando a criação de linguagens para uma nova espécie de rádio que atenda a interesses educacionais culturais artísticos e comunitários. Produção com ênfase nas leis 10.639 e 11.645 para uma educação anti-racista e contra outras formas de discriminação utilizando ferramentas de rádio áudio e música.","Pedro Alvim Leite Lopes"
"ESCRITÓRIO MODELO DE TRADUÇÃO ANA CRISTINA CÉSAR","Este projeto tem como premissa a renovação e a rediscussão dos cursos de graduação do instituto de letras em função da nova realidade e exigência do mercado de trabalho do profissional em letras. O projeto que no ano de 2021 se transformou em programa busca contemplar o ensino e a pesquisa em tradução (cultural e intercultural) bem como a extensão por meio do atendimento a demandas sociais. Nesse sentido o programa “escritório modelo de tradução ana cristina césar” tem como principais metas e objetivos atender às demandas imediatas de trabalhos de tradução das comunidades interna e externa da universidade contribuindo para a qualidade acadêmica do ile/uerj através do aprimoramento de docentes e da formação de estudantes e ainda colaborar com a internacionalização da uerj a partir de eventos e parcerias.","Maria Aparecida F. De Andrade Salgueiro"
"RÁDIO UERJ","No ar desde 2005 a rádio uerj é uma iniciativa do centro de tecnologia educacional (cte) com o objetivo de promover a divulgação da produção acadêmica da universidade a atividade laboratorial dos estudantes e a democratização do conhecimento. A rádio tem um papel essencial na integração entre a uerj e a sociedade funcionando como um canal de comunicação entre a comunidade acadêmica e o público geral. Sua missão é divulgar as iniciativas da instituição abrangendo as áreas de pesquisa ensino extensão e administração permitindo à sociedade compreender o impacto da universidade. Além disso a rádio uerj fortalece a comunicação interna criando um ambiente de troca de informações entre os setores da universidade. Suas transmissões contribuem para a transparência da gestão universitária com a possibilidade de qualquer pessoa acompanhar ao vivo as reuniões dos conselhos universitários como o consun e o csepe nas quais são tomadas decisões estratégicas da uerj. A rádio uerj está no ar 24 horas por dia com uma programação diversificada que inclui conteúdo musical programas sobre temas diversos e boletins informativos. Por meio dos boletins e das notas de agenda informa sobre eventos cursos e serviços de interesse da comunidade acadêmica e do público em geral além de destacar reportagens sobre a universidade veiculadas na mídia e realizar coberturas de eventos da uerj permitindo à sociedade acompanhar deliberações e cerimônias ampliando a transparência da gestão. A equipe da rádio uerj composta por jornalistas técnicos audiovisuais e estudantes tem um papel fundamental na criação de conteúdo de qualidade. Além de produzir programas próprios oferece suporte técnico para outras produções universitárias realizadas por departamentos professores e alunos. Isso inclui desde gravação e edição de programas até a transmissão ao vivo de eventos ampliando a visibilidade das ações da uerj e contribuindo para a construção de uma comunicação institucional eficaz.","Bárbara Andréa Silva Copque"
"CENTRAL DE PRODUÇÃO DOS MEIOS INFORMATIOZADOS(LED)","O projeto central dos meios informatizados estabelece concomitantemente o conhecimento das novas linguagens jornalísticas diante da internet e das tecnologias digitais e a produção nas plataformas virtuais da cibercultura de novos produtos jornalísticos específicos aos meios informatizados em que também se incluem reconfigurados os meios de comunicação de massa. Sua realização ocorre na prática laboratorial de aprendizagem dos estagiários com apoio de técnicos e a orientação dos professores dos laboratórios de editoração eletrônica – led de redação –lar e de multimeios- multimeios podendo receber o apoio complementar dos laboratórios de fotografia de áudio e de imagem. Suas atividades são embasadas pelo campo de estudo do jornalismo vinculado às novas tecnologias comunicacionais do final do século xx ao jornalismo científico às especializações setoriais de editorias à história do presente e à memória social e cultural. Para produzir seus produtos informatizados desenvolve softwares e produção em multimídia editando de forma combinada suportes materiais em impressos áudios e imagens sites e portal do projeto onde fica postada sua produção jornalística. Atua ainda na participação de eventos da fcs e de outras unidades acadêmicas dos campi da uerj desde o planejamento até a edição dos produtos.","Fabio Mario Iorio"
"WEB-RÁDIO: IDOSO EM FOCO","O desenvolvimento de um programa de web-rádio voltado para o público idoso surgiu a partir de uma avaliação criteriosa das políticas públicas existentes em especial o estatuto do idoso (lei federal nº 10.741/2003) e os princípios do sistema único de saúde (sus). A iniciativa busca promover informação educação e inclusão digital contribuindo para o bem-estar e a autonomia dessa parcela da população. A proposta do ""idoso em foco"" produzido pela rádio uerj alia comunicação e extensão universitária para abordar temas relevantes ao envelhecimento como saúde direitos comportamento e qualidade de vida. O projeto se destaca pela acessibilidade e pelo formato dinâmico com entrevistas debates e conteúdos educativos ampliando o alcance da extensão acadêmica e aproximando a universidade da sociedade. Os episódios são veiculados na rádio uerj disponibilizados no site do cte e distribuídos nas principais plataformas de áudio facilitando o acesso ao público. Além disso o projeto promove oficinas e treinamentos para bolsistas proporcionando uma formação prática para desenvolver habilidades essenciais para o mercado de comunicação ao mesmo tempo que incentiva a formação socioemocional desses estudantes. Dessa forma o projeto reafirma seu compromisso com a democratização do conhecimento contribuindo para um envelhecimento mais ativo e participativo.","Thalyta Mitsue Leite Toda"
"LABORATÓRIO DE COMUNICAÇÃO CIDADE E CONSUMO","O laboratório de comunicação cidade e consumo (lacon) objetiva difundir conhecimento acadêmico sobre a interface comunicação cidade consumo e diversidade procurando impactar diversos públicos de interesse. A partir da observação de que as sucessivas gestões urbanas do rio de janeiro planejavam a cidade para receber megaeventos ação legitimada pelo branding urbano que pretendia uma nova imagem da cidade entre elas a de cidade segura investigamos as representações midiáticas do medo e a construção de imaginários em torno dos jogos olímpicos de 2016. Já que a cidade era trabalhada como marca e vendida como mercadoria passamos a problematizar os atributos da marca rio para além dos megaeventos. Diante da repercussão positiva do evento “berro! Expressão e comunicação lgbt+” realizado pelo lacon em 2019 o coordenador ricardo ferreira freitas introduziu o tema diversidade em nossas pesquisas. Para isso seguimos atualizando a relação entre comunicação cidade e consumo investigando a diversidade como atributo de duas marcas genuinamente cariocas: rede globo e petrobras pois entendemos que os discursos dessas marcas impactam a marca rio as representações de identidades diversas e o consumo na e da cidade. As atividades de extensão do laboratório são pautadas pelas investigações aqui apresentadas. Pesquisadores extensionistas e demais bolsistas do lacon desenvolvem semestralmente um plano de comunicação para a divulgação do conhecimento científico produzido e o aprimoramento teórico e técnico dos alunos envolvidos. Assim organizamos eventos acadêmicos; planejamos campanhas sociais e educativas e produzimos conteúdo para o site blog e redes sociais do lacon (textos vídeos podcasts entre outros). Como um laboratório que atua em pesquisa ensino e extensão ressaltamos que nossas pesquisas resultados e produtos incrementam as discussões em aulas de graduação e pós-graduação. O lacon é espaço da disciplina estágio supervisionado lacon.","Ricardo Ferreira Freitas"
"REDE DE AÇÕES COMUNICACIONAIS DA EDITORA DA UERJ","A rede de comunicação da eduerj tem a missão de produzir informações sobre os livros interagindo com veículos da imprensa com leitores potenciais e também com os autores. é uma ação que requer uma estratégia para cada livro mas também um pensar mais plural que unifique os esforços de divulgação em torno da valorização da marca eduerj. O projeto colabora para dar luz às pesquisas acadêmicas publicadas pela editora da uerj com a utilização de uma linguagem que seja de fácil compreensão e democratiza o conhecimento sobre as iniciativas da eduerj como editais ou prêmios por ela conquistados.","Ricardo Zentgraf"
"LAMPE – LABORATÓRIO DE PESQUISA EM COMUNICAÇÃO INTERAÇÃO E CULTURA","Articulado ao programa de pós-graduação em comunicação e ao departamento de jornalismo da faculdade de comunicação social da uerj o laboratório de pesquisa em comunicação interação e cultura (lampe) existe desde 2014 dedicando-se a desenvolver atividades de pesquisa e extensão voltadas para a prática da comunicação e da divulgação científica. O lampe investe em ações voltadas para a visibilização da produção acadêmica do grupo de pesquisa corps (corpo representação e espaço urbano/cnpq/2012) fomentando a divulgação científica de forma interna e externa à universidade. Entre suas atividades principais destacam-se a concepção de projetos acadêmicos; a produção do blog lampe (https://lampeppgcom.Wordpress.Com); o gerenciamento de vídeos no canal associado ao projeto de extensão na plataforma youtube (https://www.Youtube.Com/channel/ucxgwesvx92ifyxcucdqirpg); a organização de eventos acadêmicos; a realização de reuniões sistemáticas do grupo de pesquisa; a participação em eventos de pesquisa; a produção de material visual e a concepção redação e revisão de livros integrais e coletâneas desenvolvidas pelo grupo de pesquisa com seus parceiros internos e externos à uerj.","Denise Da Costa Oliveira Siqueira"
"JORNAL NA ESCOLA","O projeto destinado a adolescentes que estejam cursando o ensino básico propõe o desenvolvimento de habilidades discursivas e a integração entre escola e comunidade por meio da produção de jornal. Espera-se que o participante potencialize sua presença em diversas práticas sociais e artísticas da escola e da sociedade através da experiência de relatar narrar argumentar expor e descrever (schneuwly & dolz 2004). O trabalho com essas habilidades permite a interação com a realidade tomando consciência e propondo novas realidades. O projeto prevê encontros semanais de leitura e produção de textos do domínio jornalístico com atividades que despertem a criatividade e a consciência sobre os diversos recursos da composição do texto vinculado aos jornais de modo que o participante perceba a “dinamicidade pluralidade e riqueza de gênero sem sufocá-lo em modelos formais” (alves filho 2011 p. 109).","Angelica De Oliveira Castilho Pereira"
"COMUNICAÇÃO SOCIAL E INSTITUCIONAL EM SAÚDE COLETIVA","O projeto visa divulgar conhecimento para a qualificação do debate público sobre saúde e sociedade no brasil. Nesse sentido a comunicação social e institucional do instituto de medicina social (ims) contribui ao posicionamento desta unidade como referência científica acadêmica e política na área da saúde no âmbito nacional regional e global divulgando conhecimentos inovadores e análises críticas cruciais para o desenvolvimento e democratização da área. Tendo como veículo principal seu website a comunicação do ims produz matérias notícias e conteúdos audiovisuais online também divulgados através das suas mídias sociais (facebook instagram e youtube) bem como tarefas de assessoria de imprensa visando um público acadêmico profissional gestor e ativista tanto nacional como internacional. Através destes meios divulgam-se informações precisas acessíveis e atualizadas acerca do ims sua história composição parcerias e gestão institucional bem como da produção científica das suas linhas e projetos de pesquisa e oferta de programas cursos e eventos acadêmicos. As estratégias da área são desenhadas e avaliadas por um grupo de trabalho interno em funcionamento há quatro anos vinculado à direção e ao conselho departamental do ims. Sua gestão cotidiana envolve a colaboração entre a secretaria do instituto e um profissional da comunicação contratado cujas tarefas incluem a postagem da agenda e novidades internas da instituição e produção de matérias de conteúdo variável do campo da saúde coletiva e sua presença em mídias sociais. O planejamento para 2023 inclui o lançamento do novo website do ims desenvolvido durante 2022 e o aprimoramento da produção dedicada à divulgação científica no campo da saúde coletiva","Horacio Federico Sivori"
